sep=,
mean,1
21489.03529411765,1444.3966857928651
20749.682352941178,1435.2298035793267
20087.386274509805,1409.4499549852214
19502.366666666665,1400.6537031924295
19008.95490196078,1723.3790705835702
18823.598039215685,1403.8560545141647
18547.731372549017,1297.3637478348462
19321.360784313725,1382.9451339917184
21252.87843137255,1458.4633018782097
24290.286274509806,1516.6073362633595
25323.89215686274,1496.0579762620346
25589.96470588236,1515.2150772512173
24946.05098039216,1450.6748475619954
23267.468627450977,1445.8904249617528
23707.423529411768,1416.5121365647713
25263.55098039216,2424.746398563986
25552.011764705883,1429.9821703289954
24572.747058823526,2959.342438336797
25119.468627450977,1629.4007572712364
25642.701960784307,1392.0834515919219
24322.17647058823,1430.3903184219664
23091.686274509804,1370.6891317902255
22807.482352941173,1504.7726603983585
22233.59019607844,1533.7018756270595
